seudonimo,zona
P-32534,ninguno
N-22262,ninguno
P-42967,ninguno
P-17453,ninguno
N-24574,ninguno
N-21284,ninguno
N-29453,ninguno
P-31740,ninguno
P-48418,ninguno
UT-23448,solo_triangulo
N-25104,ninguno
N-20039,ninguno
P-36584,ninguno
P-42796,ninguno
P-28272,ninguno
P-41717,ninguno
P-09204,ninguno
N-36299,ninguno
P-26969,ninguno
N-18533,ninguno
N-12159,ninguno
UT-18541,ninguno
P-15698,ninguno
P-27644,ninguno
P-29653,ninguno
P-49836,solo_triangulo
N-16757,ninguno
P-23322,ninguno
P-38471,ninguno
P-06998,ninguno
N-35768,ninguno
P-48453,ninguno
N-09020,ninguno
UT-8694,solo_triangulo
P-41473,ninguno
N-23571,ninguno
P-28274,ninguno
P-36279,solo_triangulo
N-01640,ninguno
P-22328,ninguno
N-04984,ninguno
N-07273,ninguno
P-25913,ninguno
N-22785,ninguno
N-06589,ninguno
P-48140,ninguno
N-07544,ninguno
N-32471,ninguno
N-23842,ninguno
P-05340,ninguno
N-06737,ninguno
P-28914,ninguno
P-26179,ninguno
N-23124,ninguno
P-40086,ninguno
P-27149,solo_triangulo
P-38320,ninguno
N-05483,ninguno
P-46587,ninguno
P-00279,ninguno
N-28760,ninguno
N-36162,ninguno
N-05415,ninguno
P-11697,ninguno
N-20528,ninguno
P-42538,ninguno
UT-9260,solo_triangulo
P-37174,ninguno
N-09979,ninguno
P-11720,ninguno
P-10504,ninguno
P-27975,ninguno
P-05370,ninguno
N-14563,ninguno
N-19127,ninguno
P-48197,ninguno
P-48996,ninguno
UT-13183,ninguno
P-03109,ninguno
N-34296,ninguno
P-32014,ninguno
P-16861,ninguno
P-11921,ninguno
N-05314,ninguno
UT-17463,ninguno
N-06170,ninguno
N-18500,ninguno
N-02042,ninguno
P-34831,solo_triangulo
N-15007,ninguno
P-42182,ninguno
UT-32983,solo_triangulo
P-06188,ninguno
UT-20793,ninguno
P-08335,ninguno
P-15949,ninguno
N-04115,ninguno
P-39352,ninguno
P-19669,ninguno
N-09818,ninguno
P-18649,ninguno
P-45616,ninguno
P-28104,ninguno
P-47951,ninguno
P-15385,ninguno
P-41729,ninguno
N-03118,ninguno
N-19536,ninguno
N-01849,ninguno
N-15893,ninguno
N-27656,ninguno
P-36245,ninguno
P-06326,solo_triangulo
N-04577,ninguno
P-32845,ninguno
P-47867,ninguno
P-42918,ninguno
N-12522,ninguno
UT-14591,ninguno
P-25077,ninguno
N-20895,ninguno
N-33762,ninguno
N-22415,ninguno
N-09930,ninguno
N-04127,ninguno
N-14374,ninguno
N-01501,ninguno
P-05928,ninguno
N-01940,ninguno
N-15467,ninguno
N-35698,ninguno
P-37989,ninguno
P-37384,ninguno
UT-11258,ninguno
P-18666,ninguno
P-29743,ninguno
N-06424,ninguno
N-01630,ninguno
N-07799,ninguno
P-25397,ninguno
P-19012,ninguno
P-27649,ninguno
N-21466,ninguno
P-00377,ninguno
N-35662,ninguno
P-20681,ninguno
P-28830,ninguno
P-46566,ninguno
N-29483,ninguno
P-33882,ninguno
UT-17376,ninguno
N-21669,ninguno
P-27082,ninguno
N-36477,ninguno
N-23778,ninguno
N-31828,ninguno
N-33231,ninguno
P-36549,ninguno
P-48642,ninguno
N-00656,ninguno
P-16675,ninguno
N-33260,ninguno
N-13470,ninguno
N-04182,ninguno
N-13952,ninguno
N-35224,ninguno
P-44067,ninguno
N-10673,ninguno
N-02052,ninguno
P-33366,solo_triangulo
N-25952,ninguno
UT-36653,ninguno
N-21439,ninguno
P-45597,ninguno
N-27075,ninguno
P-05724,ninguno
N-17864,ninguno
N-26163,ninguno
P-16586,ninguno
P-19248,ninguno
N-29409,ninguno
UT-26934,ninguno
P-45926,ninguno
N-08822,ninguno
P-45088,ninguno
N-24497,ninguno
N-26718,ninguno
P-18773,ninguno
P-02650,ninguno
P-16893,ninguno
P-25163,ninguno
P-38900,ninguno
N-24688,ninguno
N-30760,ninguno
P-51470,ninguno
P-50264,ninguno
P-28350,ninguno
N-04723,ninguno
P-43811,ninguno
N-33286,ninguno
P-21617,ninguno
P-08502,ninguno
P-14365,ninguno
N-12518,ninguno
P-30234,ninguno
N-14806,ninguno
P-49519,ninguno
N-16242,ninguno
P-24137,ninguno
P-26853,ninguno
P-11182,ninguno
N-15813,ninguno
P-40688,ninguno
P-24681,ninguno
UT-17805,ninguno
P-48604,ninguno
P-10933,ninguno
N-07674,ninguno
N-26085,ninguno
P-26291,ninguno
N-22569,ninguno
P-31644,ninguno
P-27728,ninguno
P-12089,ninguno
P-17652,ninguno
N-19796,ninguno
P-16468,ninguno
P-16999,ninguno
N-34992,ninguno
P-19608,ninguno
N-03389,ninguno
N-19522,ninguno
P-45554,ninguno
P-43968,ninguno
N-01025,ninguno
N-24976,ninguno
P-04663,ninguno
P-38324,ninguno
P-17655,ninguno
UT-22885,ninguno
N-12910,ninguno
N-03157,ninguno
P-51329,ninguno
N-02679,ninguno
P-19885,ninguno
UT-19130,solo_triangulo
P-21506,ninguno
N-18233,ninguno
N-35246,ninguno
N-00649,ninguno
N-29718,ninguno
UT-45276,solo_triangulo
P-22792,ninguno
P-28073,ninguno
P-38683,ninguno
P-30385,ninguno
P-05132,ninguno
P-47544,ninguno
N-21105,solo_modelo
N-21942,ninguno
P-02919,ninguno
P-31446,ninguno
P-41210,ninguno
N-05263,ninguno
UT-10462,solo_triangulo
N-36470,ninguno
P-07692,ninguno
N-31774,ninguno
N-31031,ninguno
UT-25107,solo_triangulo
N-32885,ninguno
P-33137,ninguno
P-39271,ninguno
P-32805,ninguno
N-33878,ninguno
P-34266,ninguno
N-02245,ninguno
P-38757,ninguno
P-37361,ninguno
P-29912,ninguno
N-02884,ninguno
P-49711,ninguno
P-07317,ninguno
P-49553,ninguno
UT-22267,ninguno
P-28725,ninguno
P-13657,ninguno
P-40231,ninguno
P-00893,ninguno
P-44142,ninguno
N-35388,ninguno
N-03635,ninguno
N-18864,ninguno
P-14217,ninguno
P-29519,ninguno
P-28200,ninguno
P-39104,ninguno
P-01777,ninguno
N-35264,ninguno
P-30046,ninguno
P-47884,ninguno
N-17312,ninguno
P-03438,ninguno
P-05867,ninguno
N-26123,ninguno
P-08226,ninguno
N-28176,ninguno
N-33737,ninguno
N-14723,ninguno
N-06546,ninguno
P-40038,ninguno
N-30114,ninguno
N-14851,ninguno
P-37910,ninguno
P-41448,ninguno
N-07909,ninguno
P-34405,ninguno
P-33029,ninguno
P-42038,ninguno
P-03187,ninguno
UT-15348,solo_triangulo
N-32146,ninguno
N-13323,ninguno
P-44944,ninguno
N-29253,ninguno
P-07801,ninguno
P-28473,ninguno
P-33602,ninguno
P-32435,ninguno
P-34256,ninguno
N-23628,ninguno
UT-34704,ninguno
P-45229,ninguno
P-18213,ninguno
UT-25112,ninguno
N-22883,ninguno
P-10873,ninguno
N-08635,ninguno
P-32715,ninguno
N-18447,ninguno
N-21265,ninguno
N-13610,ninguno
P-17524,ninguno
UT-35914,ninguno
N-31469,ninguno
UT-36222,ninguno
UT-37001,ninguno
N-36464,ninguno
P-31573,ninguno
P-43247,ninguno
N-01579,ninguno
P-19594,ninguno
P-45153,ninguno
N-05576,ninguno
P-04821,ninguno
P-08439,ninguno
N-23317,ninguno
UT-43878,solo_triangulo
N-11940,ninguno
N-04936,ninguno
P-20328,solo_triangulo
N-08988,ninguno
N-35854,ninguno
P-01671,ninguno
N-32122,ninguno
P-30950,ninguno
N-23093,ninguno
N-19181,ninguno
N-35789,ninguno
P-42489,ninguno
N-06511,ninguno
N-36721,ninguno
N-09908,ninguno
P-13456,ninguno
P-42874,ninguno
P-14573,ninguno
N-05150,ninguno
N-01798,ninguno
P-03275,ninguno
N-19835,ninguno
N-28753,ninguno
N-12298,ninguno
P-22665,ninguno
P-06469,ninguno
P-00724,ninguno
N-31263,ninguno
P-22167,ninguno
N-14034,ninguno
P-04560,ninguno
N-33414,ninguno
N-21551,ninguno
N-07857,ninguno
P-23384,ninguno
N-13099,ninguno
P-25113,ninguno
P-30176,ninguno
N-34860,ninguno
P-06386,ninguno
P-40629,ninguno
N-34945,ninguno
P-48532,ninguno
P-45250,ninguno
N-07435,ninguno
P-25718,ninguno
P-02442,ninguno
N-36257,ninguno
P-01026,ninguno
UT-13796,ninguno
P-44261,ninguno
UT-8086,ninguno
N-14604,ninguno
P-35429,ninguno
P-29865,ninguno
P-40990,ninguno
P-28546,ninguno
N-03696,ninguno
UT-18272,solo_triangulo
N-32440,ninguno
N-35361,ninguno
P-12024,ninguno
N-24297,ninguno
P-11478,ninguno
UT-25640,solo_triangulo
N-25378,ninguno
N-06949,ninguno
UT-15326,ninguno
N-10774,ninguno
P-43357,ninguno
UT-11086,ninguno
N-13353,ninguno
P-20720,ninguno
P-46489,ninguno
N-38053,ninguno
N-25642,ninguno
N-03405,ninguno
N-34833,ninguno
P-01296,ninguno
N-10757,ninguno
N-36965,ninguno
P-28699,ninguno
N-29834,ninguno
N-24360,ninguno
N-07854,ninguno
UT-42955,ninguno
P-00976,ninguno
N-14702,ninguno
N-35362,ninguno
P-18436,ninguno
N-09615,ninguno
P-35147,ninguno
N-25248,ninguno
P-22348,ninguno
P-27024,ninguno
P-30976,ninguno
N-16629,ninguno
P-03062,ninguno
P-13296,ninguno
N-10295,ninguno
P-16152,ninguno
N-31136,ninguno
N-22601,ninguno
N-11072,ninguno
N-30803,ninguno
UT-31656,ninguno
P-49227,ninguno
P-26990,ninguno
UT-18251,ninguno
P-28739,ninguno
P-06783,ninguno
P-27600,solo_modelo
P-00684,solo_triangulo
N-12338,ninguno
N-16733,ninguno
N-08395,ninguno
P-09667,ninguno
N-03387,ninguno
P-40550,ninguno
P-04585,ninguno
N-34969,ninguno
N-23850,ninguno
P-02128,ninguno
P-17393,ninguno
P-09467,ninguno
N-36377,solo_modelo
P-16951,ninguno
N-28998,ninguno
UT-20735,ninguno
N-20517,ninguno
N-18958,ninguno
P-16028,ninguno
P-06907,ninguno
P-35979,ninguno
P-28247,ninguno
N-01453,ninguno
N-04188,ninguno
N-02101,ninguno
N-31967,ninguno
P-06528,ninguno
P-33810,ninguno
N-04643,ninguno
P-37656,ninguno
P-15988,ninguno
N-04277,ninguno
P-30922,ninguno
P-36841,ninguno
N-24073,ninguno
N-15890,ninguno
P-46490,ninguno
N-20056,ninguno
UT-23103,ninguno
P-25479,ninguno
P-29327,ninguno
P-48495,ninguno
P-14120,ninguno
P-24455,ninguno
N-33597,ninguno
N-03850,ninguno
P-19871,ninguno
P-39380,ninguno
UT-16746,solo_triangulo
N-36970,ninguno
P-33026,ninguno
P-23727,ninguno
N-29908,ninguno
P-01748,ninguno
N-17747,ninguno
N-37899,ninguno
P-31176,ninguno
P-35437,ninguno
UT-44218,ninguno
N-04006,ninguno
N-08048,ninguno
N-37990,ninguno
N-17152,ninguno
N-12767,ninguno
N-37259,ninguno
N-03449,ninguno
UT-21093,solo_triangulo
P-06176,ninguno
N-14331,ninguno
N-05476,ninguno
P-12281,ninguno
P-33153,ninguno
P-28426,ninguno
P-27698,ninguno
P-31943,ninguno
N-20106,ninguno
UT-23628,ninguno
N-28453,ninguno
N-12844,ninguno
N-18482,ninguno
P-17669,ninguno
N-37633,ninguno
P-25663,ninguno
N-07992,ninguno
P-13043,solo_triangulo
P-39298,ninguno
N-10105,ninguno
P-32121,ninguno
N-14363,ninguno
N-20772,ninguno
P-27461,ninguno
N-20896,ninguno
N-19727,ninguno
N-14645,ninguno
N-17901,ninguno
N-22886,ninguno
P-51218,ninguno
P-15424,ninguno
N-26267,ninguno
P-25502,ninguno
P-02633,ninguno
N-32323,ninguno
N-25111,ninguno
P-49724,ninguno
UT-27149,solo_triangulo
N-31008,ninguno
P-08165,ninguno
P-01858,ninguno
P-41949,ninguno
P-45399,ninguno
P-49024,ninguno
P-34964,ninguno
P-34523,ninguno
N-32567,ninguno
N-15039,ninguno
N-00037,ninguno
N-17868,ninguno
P-45593,ninguno
N-07996,ninguno
N-20086,ninguno
UT-35364,solo_triangulo
N-24634,ninguno
P-49005,ninguno
P-46966,ninguno
P-29967,ninguno
N-04702,ninguno
P-11916,ninguno
UT-28026,ninguno
N-04305,ninguno
P-32185,ninguno
P-19717,ninguno
P-43254,ninguno
N-34806,ninguno
P-08618,ninguno
P-14626,ninguno
P-08546,ninguno
N-23932,ninguno
N-03747,ninguno
P-13765,ninguno
N-24222,ninguno
N-21933,ninguno
N-32976,ninguno
P-28690,ninguno
N-28088,ninguno
P-27835,ninguno
N-12348,ninguno
P-34339,ninguno
N-09580,ninguno
N-13710,ninguno
P-32999,ninguno
P-19417,ninguno
P-26974,ninguno
N-11644,ninguno
P-31311,ninguno
P-37684,ninguno
P-45800,ninguno
P-15015,ninguno
UT-31571,ninguno
UT-38372,ninguno
P-02844,ninguno
P-26868,ninguno
P-05834,ninguno
N-22156,ninguno
P-41632,ninguno
N-00568,ninguno
P-26112,ninguno
P-09962,ninguno
N-31073,ninguno
P-42587,ninguno
UT-10436,ninguno
N-03775,ninguno
P-03147,ninguno
P-51502,ninguno
N-19142,ninguno
P-17336,ninguno
N-33744,ninguno
UT-10644,ninguno
UT-38661,ninguno
N-36653,ninguno
P-09421,ninguno
P-04977,ninguno
P-20663,ninguno
UT-13760,ninguno
P-22035,ninguno
N-05032,ninguno
N-23418,ninguno
P-11657,ninguno
P-01046,ninguno
P-43328,ninguno
P-17271,ninguno
N-30730,ninguno
UT-10180,ninguno
P-08853,ninguno
P-29780,ninguno
N-24103,ninguno
N-30963,ninguno
N-01235,ninguno
P-03594,ninguno
P-01040,ninguno
N-22901,ninguno
N-35519,ninguno
P-18285,ninguno
N-08905,ninguno
N-02760,ninguno
P-05237,ninguno
N-30281,ninguno
P-35337,ninguno
N-33045,ninguno
P-30122,ninguno
P-37486,ninguno
P-29979,ninguno
UT-10323,ninguno
N-10945,ninguno
P-22002,ninguno
N-25836,ninguno
P-42962,ninguno
N-31160,ninguno
P-12908,ninguno
P-46602,ninguno
N-02861,ninguno
N-05422,ninguno
P-28448,ninguno
P-41035,ninguno
N-29775,ninguno
P-03453,ninguno
N-13572,ninguno
N-36534,ninguno
P-30000,ninguno
P-13827,ninguno
P-48305,ninguno
N-21792,ninguno
UT-5033,ninguno
N-31681,ninguno
P-18841,ninguno
N-13365,ninguno
P-33498,solo_modelo
N-15993,ninguno
N-27092,ninguno
N-16270,ninguno
N-00552,ninguno
P-44707,ninguno
P-18713,ninguno
P-14755,ninguno
UT-10366,solo_triangulo
P-30211,ninguno
N-19470,ninguno
P-49229,ninguno
P-03670,ambos
N-25289,ninguno
P-29777,ninguno
P-31842,ninguno
N-13461,ninguno
P-40892,ninguno
UT-41993,solo_triangulo
P-14358,ninguno
P-03899,ninguno
N-11437,ninguno
P-51407,ninguno
P-22390,ninguno
P-05180,ninguno
P-13945,ninguno
N-00777,ninguno
N-12943,ninguno
N-17908,ninguno
P-03303,ninguno
P-48275,solo_triangulo
N-06883,ninguno
P-03547,ninguno
N-13573,ninguno
UT-6036,ninguno
UT-0514,ninguno
N-27981,ninguno
N-02769,ninguno
P-36567,solo_triangulo
P-47328,ninguno
N-29935,ninguno
UT-6147,ninguno
N-20810,ninguno
N-08221,ninguno
UT-18019,ninguno
N-24843,ninguno
P-37153,ninguno
P-40970,ninguno
UT-21615,ninguno
P-46295,ninguno
P-22641,ninguno
P-20847,ninguno
N-28374,ninguno
P-37183,ninguno
P-46964,ninguno
P-44772,ninguno
P-06569,ninguno
P-23476,ninguno
N-03994,ninguno
P-27350,ninguno
P-06138,ninguno
N-03704,ninguno
P-21032,ninguno
P-36140,solo_triangulo
N-13963,ninguno
P-06005,ninguno
P-30137,solo_triangulo
N-03498,ninguno
N-01298,ninguno
P-04183,ninguno
N-15800,ninguno
P-41768,ninguno
UT-5996,ninguno
P-48672,ninguno
N-13356,ninguno
P-16443,ninguno
N-03360,ninguno
N-19346,ninguno
N-29634,ninguno
N-15553,ninguno
N-05117,ninguno
N-02288,ninguno
P-03866,ninguno
N-36964,ninguno
P-14183,ninguno
P-50211,ninguno
P-42814,ninguno
P-11333,ninguno
P-28542,ninguno
N-05661,ninguno
N-27482,ninguno
UT-36277,ninguno
P-33611,ninguno
N-07962,ninguno
P-34147,ninguno
N-07268,ninguno
N-10644,ninguno
P-48698,ninguno
N-35045,ninguno
P-24740,ninguno
N-23635,ninguno
N-21434,ninguno
P-50847,ninguno
P-12292,ninguno
UT-42979,solo_triangulo
P-37642,solo_modelo
N-34742,ninguno
P-44895,ninguno
P-33600,ninguno
UT-9878,ninguno
N-12579,ninguno
N-23661,ninguno
P-43959,ninguno
P-18230,ninguno
N-20308,ninguno
N-21187,ninguno
UT-37358,solo_triangulo
N-09895,ninguno
P-26544,ninguno
N-15625,ninguno
P-25341,ninguno
N-06742,ninguno
N-12444,ninguno
P-35753,ninguno
N-20985,ninguno
N-37651,solo_triangulo
P-28607,ninguno
UT-0326,ninguno
P-14843,ninguno
N-33397,ninguno
P-17140,ninguno
N-13553,ninguno
P-44406,solo_modelo
P-18996,ninguno
P-07816,ninguno
P-41483,ninguno
P-16799,ninguno
P-31767,ninguno
P-35568,ninguno
P-13011,ninguno
P-46844,solo_modelo
N-34356,ninguno
P-46120,solo_triangulo
P-08733,ninguno
N-19065,ninguno
P-13695,ninguno
N-11746,ninguno
N-04747,ninguno
P-28650,ninguno
N-01182,ninguno
N-01956,ninguno
P-18866,ninguno
N-33089,ninguno
N-27640,ninguno
P-11058,ninguno
P-45344,ninguno
N-35213,ninguno
P-09201,solo_triangulo
P-37843,ninguno
P-51231,ninguno
N-33037,ninguno
N-08224,ninguno
P-13361,ninguno
UT-9361,ninguno
N-36495,ninguno
N-12636,ninguno
P-29462,ninguno
N-15466,ninguno
N-35039,ninguno
P-37212,ninguno
P-11226,ninguno
P-23022,ninguno
UT-43061,ninguno
N-19013,ninguno
P-14131,ninguno
N-34077,ninguno
P-11177,ninguno
N-18921,ninguno
N-04457,ninguno
UT-5161,solo_triangulo
N-18860,ninguno
N-09787,ninguno
P-05598,ninguno
N-22245,ninguno
N-32767,ninguno
N-08397,ninguno
P-18846,ninguno
P-36495,ninguno
P-11119,ninguno
N-24788,ninguno
N-19725,ninguno
P-25833,ninguno
N-21736,ninguno
N-14510,ninguno
P-14886,ninguno
P-30527,ninguno
P-35123,ninguno
P-15187,ninguno
P-02250,ninguno
UT-14751,ninguno
P-14638,ninguno
P-33788,solo_triangulo
P-22586,ninguno
UT-29218,ninguno
P-40130,ninguno
N-32260,ninguno
N-21396,ninguno
N-10475,ninguno
N-12214,ninguno
P-15780,ninguno
N-06787,ninguno
UT-10752,ninguno
N-29610,ninguno
N-01679,ninguno
N-20804,ninguno
N-31179,ninguno
P-30571,ninguno
P-40307,ninguno
N-27127,ninguno
N-28177,ninguno
N-02619,ninguno
P-00370,ninguno
N-17798,ninguno
N-21595,ninguno
N-09544,ninguno
P-35689,ninguno
N-26867,ninguno
N-07979,ninguno
P-02391,ninguno
P-32039,solo_triangulo
P-14673,ninguno
P-31821,solo_triangulo
UT-32934,ninguno
N-11397,ninguno
P-48151,ninguno
N-28138,ninguno
P-01054,ninguno
N-08151,ninguno
P-00890,ninguno
P-40135,ninguno
UT-3297,solo_triangulo
N-27379,ninguno
UT-4406,ninguno
N-22068,ninguno
P-46837,ninguno
P-11412,ninguno
P-43546,ninguno
N-26741,ninguno
P-07272,ninguno
P-26608,solo_modelo
N-37517,ninguno
P-51221,ninguno
P-46415,ninguno
N-09044,ninguno
N-31045,ninguno
N-10158,ninguno
P-24226,ninguno
P-43602,ninguno
N-10966,ninguno
P-48017,ninguno
N-12902,ninguno
P-44120,ninguno
N-32366,ninguno
N-04388,ninguno
P-01180,ninguno
N-06922,ninguno
N-15657,ninguno
P-10716,ninguno
UT-23919,solo_triangulo
P-15744,ninguno
P-23557,ninguno
P-21818,ninguno
P-02410,ninguno
P-24949,ninguno
P-47919,ninguno
N-09618,ninguno
P-18073,ninguno
P-05063,ninguno
P-51345,ninguno
P-32838,ninguno
N-01194,ninguno
P-23926,ninguno
N-08263,ninguno
N-18131,ninguno
P-03685,ninguno
P-27055,ninguno
P-26609,ninguno
P-21532,ninguno
P-00950,ninguno
P-12749,ninguno
N-09913,ninguno
P-12733,ninguno
P-23785,ninguno
N-36658,ninguno
N-03388,ninguno
N-35318,ninguno
P-11236,ninguno
N-08058,ninguno
N-23018,ninguno
P-19361,ninguno
P-16478,ninguno
N-09567,ninguno
P-37512,solo_modelo
P-20962,ninguno
P-38086,ninguno
P-31159,ninguno
N-24805,ninguno
P-21079,ninguno
N-17070,ninguno
N-23464,ninguno
N-15504,ninguno
UT-6558,ninguno
P-27659,ninguno
P-11018,ninguno
P-04808,ninguno
P-04276,ninguno
P-01470,ninguno
N-09508,ninguno
P-26610,ninguno
N-33879,ninguno
N-34486,ninguno
N-24075,ninguno
N-28256,ninguno
N-37091,ninguno
P-10988,ninguno
N-28920,ninguno
N-11424,ninguno
P-09707,ninguno
P-36457,ninguno
P-07175,ninguno
P-08457,ninguno
N-11599,ninguno
P-50748,ninguno
P-21354,ninguno
P-28204,ninguno
P-47421,ninguno
P-34942,ninguno
N-01344,ninguno
P-14878,ninguno
P-14632,ninguno
P-13091,ninguno
P-19906,ninguno
P-37425,ninguno
P-27843,ninguno
N-11320,ninguno
N-01636,solo_triangulo
N-23167,ninguno
N-29618,ninguno
P-35631,ninguno
UT-16896,solo_triangulo
P-44217,ninguno
N-35534,ninguno
N-22913,ninguno
P-18943,ninguno
P-21223,ninguno
N-23769,solo_triangulo
P-44430,ninguno
N-30363,ninguno
N-14303,ninguno
P-06911,ninguno
P-36080,ninguno
UT-12231,ninguno
P-24081,ninguno
N-25508,ninguno
N-19054,ninguno
N-14146,ninguno
P-14123,ninguno
N-01888,ninguno
P-28920,ninguno
P-15452,ninguno
N-18797,ninguno
N-00404,ninguno
P-31308,ninguno
UT-10688,ninguno
P-20999,ninguno
P-04802,ninguno
P-14161,ninguno
N-03347,ninguno
P-50329,ninguno
N-16465,ninguno
N-29011,ninguno
P-23203,ninguno
N-29065,ninguno
N-00341,ninguno
N-09986,ninguno
P-18686,solo_triangulo
N-03773,ninguno
P-44541,ninguno
N-27450,ninguno
P-42786,ninguno
N-02155,ninguno
P-03822,ninguno
N-10598,ninguno
N-08560,ninguno
N-08103,ninguno
P-31633,ninguno
N-38025,ninguno
N-29291,ninguno
P-16125,ninguno
N-02844,ninguno
N-19657,ninguno
UT-41913,ninguno
N-30055,ninguno
N-10817,ninguno
P-28376,ninguno
P-17294,ninguno
P-28731,ninguno
UT-33959,ninguno
P-37230,ninguno
P-43180,ninguno
P-01423,ninguno
P-14040,ninguno
P-47426,ninguno
P-20658,ninguno
P-13362,ninguno
N-07227,ninguno
P-14577,ninguno
N-16281,ninguno
N-28910,ninguno
N-17202,ninguno
P-44865,ninguno
P-13725,ninguno
N-26229,ninguno
P-44963,ninguno
P-44788,ninguno
P-23647,ninguno
N-06717,ninguno
N-15628,ninguno
N-20023,ninguno
UT-7780,ninguno
N-32106,ninguno
P-51104,ninguno
P-44751,ninguno
UT-10986,solo_triangulo
N-24550,ninguno
P-01469,ninguno
N-30060,ninguno
N-34259,ninguno
N-10421,ninguno
N-37018,ninguno
P-49780,ninguno
N-14874,ninguno
N-29575,ninguno
N-07833,ninguno
UT-40633,solo_triangulo
N-31675,ninguno
N-06683,ninguno
UT-2842,ninguno
N-37955,ninguno
P-35948,ninguno
P-17569,ninguno
N-21898,ninguno
UT-37236,ninguno
P-15463,solo_modelo
N-06709,ninguno
UT-38214,solo_triangulo
P-30564,ninguno
N-02240,ninguno
N-06333,ninguno
P-12655,ninguno
P-01128,ninguno
N-35631,ninguno
N-01694,ninguno
N-12859,ninguno
N-11587,ninguno
P-46883,ninguno
N-12266,ninguno
P-50606,ninguno
N-34503,ninguno
UT-14744,ninguno
N-10916,ninguno
P-32876,ninguno
UT-16660,solo_triangulo
N-36381,ninguno
P-26994,ninguno
N-34776,ninguno
P-05919,ninguno
P-18977,ninguno
N-31925,ninguno
N-37291,ninguno
P-13026,ninguno
N-29635,ninguno
P-05483,ninguno
P-07082,ninguno
N-28202,ninguno
P-50080,ninguno
N-04689,ninguno
N-27881,ninguno
P-24397,ninguno
P-50591,ninguno
P-18177,ninguno
UT-22066,solo_triangulo
UT-9446,solo_triangulo
P-19962,ninguno
P-33997,ninguno
P-39495,ninguno
P-25747,ninguno
UT-17127,ninguno
UT-37899,ninguno
P-42116,ninguno
UT-22612,ninguno
N-22099,ninguno
P-42312,ninguno
UT-10458,ninguno
P-06858,ninguno
P-05425,ninguno
P-45745,ninguno
N-11305,ninguno
P-11353,ninguno
N-17039,ninguno
UT-13758,ninguno
N-33066,ninguno
N-27738,ninguno
P-07339,ninguno
UT-17794,ninguno
P-45995,ninguno
P-15351,ninguno
UT-10539,solo_triangulo
UT-38493,ninguno
P-08125,ninguno
N-28528,ninguno
N-23338,ninguno
P-39071,ninguno
P-16568,ninguno
P-15456,ninguno
N-25526,ninguno
P-46016,ninguno
N-02379,ninguno
P-03282,ninguno
N-22736,ninguno
N-09153,ninguno
P-14418,ninguno
N-12243,ninguno
N-17361,ninguno
P-37182,solo_triangulo
N-01270,ninguno
P-12453,ninguno
N-24708,solo_modelo
P-04301,ninguno
N-02337,ninguno
P-39715,ninguno
P-11609,ninguno
N-26750,ninguno
P-09132,ninguno
P-40917,ninguno
N-24561,ninguno
P-26611,ninguno
P-40898,ninguno
P-06377,ninguno
P-05162,ninguno
UT-22563,solo_triangulo
P-08469,ninguno
N-36804,ninguno
P-02200,ninguno
P-03968,ninguno
N-15333,ninguno
N-35477,ninguno
N-07016,ninguno
N-07660,ninguno
P-43958,ninguno
P-25676,ninguno
P-10937,ninguno
N-24194,ninguno
P-19306,ninguno
P-28379,ninguno
UT-2534,solo_triangulo
P-08037,ninguno
N-37161,ninguno
P-12485,ninguno
P-32376,ninguno
UT-1071,ninguno
P-31960,ninguno
P-44664,ninguno
N-08486,ninguno
N-30761,ninguno
N-30791,ninguno
P-42494,ninguno
N-04914,ninguno
N-06699,ninguno
P-42542,ninguno
P-47638,ninguno
N-13792,ninguno
N-10075,solo_triangulo
N-29396,ninguno
N-30260,ninguno
UT-4531,ninguno
P-28716,ninguno
N-00605,ninguno
P-27237,ninguno
P-19629,ninguno
P-39423,ninguno
N-10312,ninguno
N-05750,ninguno
P-49622,ninguno
P-23346,ninguno
UT-30354,ninguno
P-34526,ninguno
P-27741,ninguno
N-28287,ninguno
P-37229,ninguno
P-36553,ninguno
P-32425,ninguno
P-19823,ninguno
P-03426,ninguno
P-20945,ninguno
UT-11678,solo_triangulo
P-27179,ninguno
UT-43205,ninguno
N-22480,ninguno
N-17362,ninguno
N-21264,ninguno
N-03519,ninguno
UT-2003,solo_triangulo
P-33818,ninguno
N-24653,ninguno
P-36938,ninguno
N-36328,ninguno
P-39790,ninguno
P-21597,ninguno
P-33791,ninguno
P-36741,ninguno
N-29149,ninguno
N-28047,ninguno
P-13257,ninguno
P-05934,ninguno
N-03408,ninguno
P-47098,ninguno
N-28284,ninguno
N-17494,solo_modelo
N-36936,ninguno
N-12084,ninguno
UT-5221,solo_triangulo
P-13229,ninguno
P-30273,ninguno
N-23709,ninguno
N-05274,ninguno
P-07342,ninguno
P-23210,ninguno
P-31134,ninguno
P-07016,ninguno
P-44792,ninguno
P-04779,ninguno
P-23009,ninguno
N-26331,ninguno
UT-1222,ninguno
N-00956,ninguno
P-32759,ninguno
N-26896,ninguno
P-35079,ninguno
P-46478,ninguno
N-12718,ninguno
P-12392,ninguno
UT-22085,ninguno
N-29851,ninguno
N-35717,ninguno
P-26778,ninguno
P-21894,ninguno
P-15562,ninguno
P-15244,ninguno
N-10528,ninguno
N-19870,ninguno
